Date;Open;High;Low;Close;Volume
2008-01-25;958.55;977.19;956.49;961.69;281321344
2008-01-28;961.69;961.69;934.33;949.08;209756032
2008-01-29;949.08;959.56;949.08;956.97;236677952
2008-01-30;956.97;957.94;945.22;951.14;223340032
2008-01-31;951.14;951.84;931.49;949.04;318687264
2008-02-01;949.04;983.47;947.21;976.43;520754560
2008-02-04;976.43;987.98;974.94;976.46;305945536
2008-02-05;976.46;977.99;941.31;945.63;331728608
2008-02-06;945.63;951.85;934.92;951.84;288729728
2008-02-07;951.84;951.84;923.18;925.87;313092992
2008-02-08;925.87;933.04;907.74;920.76;379143776
2008-02-11;920.76;920.76;905;911.39;231107024
2008-02-12;911.39;946.3;906.92;945.41;327305568
2008-02-13;945.41;950.49;922.9;949.05;293741376
2008-02-14;949.05;967.82;947.42;950.84;288101984
2008-02-15;950.84;957.45;935.24;938.79;238131904
2008-02-18;938.79;964.2;938.73;962.13;160930272
2008-02-19;962.13;977.77;953.76;967.42;263629344
2008-02-20;967.42;967.42;948.22;954.53;254404448
2008-02-21;954.53;972.23;954.53;959.79;234770976
2008-02-22;959.79;959.79;939.93;944.13;265201328
2008-02-25;944.13;963.34;944.13;961.88;204978560
2008-02-26;961.88;982.82;961.88;980.1;256738912
2008-02-27;980.1;986.3;969.77;986.3;247838272
2008-02-28;986.3;988.54;971.02;971.08;221778512
2008-02-29;971.08;972.54;955.97;965.29;253891344
2008-03-03;965.29;965.29;941;954.22;214790912
2008-03-04;954.22;962.25;925.64;931.71;282931104
2008-03-05;931.71;954.31;931.71;950.25;257917952
2008-03-06;950.25;951.79;935.94;938.07;217341200
2008-03-07;938.07;938.07;916.83;925.54;251409424
2008-03-10;925.54;925.54;905.38;914.68;228554192
2008-03-11;914.68;936.78;907.04;929.63;285191840
2008-03-12;929.63;951.8;929.63;947.79;297802272
2008-03-13;947.79;947.79;919.5;936.52;257099648
2008-03-14;936.52;950.3;920.01;924.22;217788736
2008-03-17;924.22;924.22;886.56;886.56;270957984
2008-03-18;886.56;917.34;886.56;914.55;325266240
2008-03-19;914.55;925.63;896.29;905.64;490251744
2008-03-20;905.64;905.7;893.42;894.78;200224336
2008-03-25;894.78;935.01;894.78;932.09;272136832
2008-03-26;932.09;934.25;924.12;931.87;288367392
2008-03-27;931.87;953.66;930.88;952.99;248672224
2008-03-28;952.99;953.3;945.82;951.71;209592528
2008-03-31;951.71;952.22;932.68;952.13;222194000
2008-04-01;952.13;984.63;947.09;981.23;279368416
2008-04-02;981.23;998.44;979.91;996.91;296553888
2008-04-03;996.91;999.5;982.87;987.5;236073184
2008-04-04;987.5;987.62;975.79;979.57;204493632
2008-04-07;979.57;995.08;979.57;993.34;455538432
2008-04-08;993.34;993.34;972.86;981.09;236361792
2008-04-09;981.09;983.8;968.81;978.5;268135376
2008-04-10;978.5;978.5;951.52;969.89;309389792
2008-04-11;969.89;974.98;949.39;956.52;218512976
2008-04-14;956.52;956.52;941.04;948.4;187392400
2008-04-15;948.4;956.05;943.28;950.19;181402480
2008-04-16;950.19;978.03;950.19;978.03;387194336
2008-04-17;978.03;979.25;958.48;963.79;310074656
